iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18021,18021,29559,429
2,14458,14458,25695,429
3,11674,11674,21657,429
4,9037,9037,18442,429
5,7322,7322,15360,429
6,5765,5765,12974,429
7,4551,4551,10260,429
8,3808,3808,8222,429
9,2919,2919,6328,429
10,2673,2673,5232,429
11,2221,2221,4159,429
12,1826,1826,3628,429
13,1721,1721,2878,429
14,1654,1654,2462,429
15,1257,1257,2249,429
16,933,933,1839,429
17,823,823,1507,429
18,783,783,1311,429
19,662,662,1254,429
20,613,613,1123,429
