iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,33619,33619,54895,253
2,24274,24274,46393,253
3,17458,17458,38698,253
4,12421,12421,31605,253
5,8200,8200,24492,253
6,5700,5700,18427,253
7,4109,4109,13715,253
8,3019,3019,9878,253
9,2305,2305,7375,253
10,1690,1690,5474,253
11,1266,1266,4117,253
12,948,948,3345,253
13,767,767,2916,253
14,761,761,2054,253
15,735,735,1829,253
16,662,662,1484,253
17,556,556,1327,253
18,456,456,1134,253
19,388,388,1022,253
20,343,343,948,253
